index,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,totals
182,2020-09,Kansas,1382.0,18.0,7897.0,6489.0,662.0,418,17660
183,2020-09,Kentucky,2039.0,3417.0,16006.0,10674.0,715.0,671,36139
184,2020-09,Louisiana,1677.0,154.0,15581.0,12661.0,1283.0,829,33496
185,2020-09,Maine,912.0,11.0,4758.0,6249.0,373.0,276,12747
186,2020-09,Mariana Islands,0.0,0.0,14.0,11.0,2.0,3,30
187,2020-09,Maryland,11938.0,30.0,9575.0,8547.0,282.0,2,30948
188,2020-09,Massachusetts,14163.0,1.0,6889.0,3754.0,878.0,286,26145
189,2020-09,Michigan,29269.0,10762.0,32590.0,25496.0,2391.0,867,101789
190,2020-09,Minnesota,28892.0,20113.0,16169.0,19127.0,1292.0,713,86830
191,2020-09,Mississippi,2947.0,0.0,10668.0,8825.0,651.0,431,25757
192,2020-09,Missouri,4316.0,0.0,24614.0,17708.0,2216.0,1088,52222
193,2020-09,Montana,2032.0,1.0,4903.0,6148.0,319.0,428,14808
194,2020-09,Nebraska,6383.0,174.0,127.0,2362.0,23.0,3,9145
195,2020-09,Nevada,2018.0,0.0,8773.0,3700.0,505.0,444,16097
196,2020-09,New Hampshire,1719.0,4.0,6974.0,4420.0,189.0,0,13429
197,2020-09,New Jersey,0.0,0.0,12591.0,7274.0,735.0,0,20811
198,2020-09,New Mexico,1021.0,0.0,7960.0,5067.0,709.0,338,15923
199,2020-09,New York,3389.0,1771.0,9928.0,25663.0,3370.0,465,45684
200,2020-09,North Carolina,47822.0,28.0,2274.0,19325.0,1531.0,188,74810
201,2020-09,North Dakota,676.0,11.0,2339.0,3879.0,134.0,122,7362
202,2020-09,Ohio,19438.0,106.0,32432.0,19759.0,1717.0,1342,76519
203,2020-09,Oklahoma,2714.0,5.0,14820.0,11176.0,1500.0,1055,34288
204,2020-09,Oregon,5494.0,746.0,20804.0,13091.0,0.0,6,40282
205,2020-09,Pennsylvania,39823.0,0.0,68109.0,25277.0,46.0,0,134626
206,2020-09,Puerto Rico,0.0,0.0,2560.0,261.0,64.0,38,3227
207,2020-09,Rhode Island,0.0,0.0,2001.0,1165.0,133.0,348,4666
208,2020-09,South Carolina,13912.0,456.0,14993.0,9264.0,915.0,483,41395
209,2020-09,South Dakota,858.0,2.0,3588.0,4621.0,200.0,166,9707
210,2020-09,Tennessee,13713.0,7046.0,31341.0,19732.0,1661.0,0,73612
211,2020-09,Texas,46746.0,0.0,68804.0,46463.0,4888.0,2928,178136
212,2020-09,Utah,18425.0,82234.0,6762.0,5896.0,529.0,0,114600
213,2020-09,Vermont,0.0,0.0,1973.0,2380.0,147.0,120,4645
214,2020-09,Virgin Islands,51.0,0.0,34.0,1.0,0.0,1,92
215,2020-09,Virginia,1087.0,635.0,31327.0,19565.0,4105.0,0,56930
216,2020-09,Washington,18816.0,354.0,26363.0,15035.0,4062.0,54,67228
217,2020-09,West Virginia,3242.0,120.0,6635.0,7065.0,380.0,367,19251
218,2020-09,Wisconsin,21724.0,770.0,25970.0,17806.0,1448.0,46,68257
219,2020-09,Wyoming,734.0,14.0,2722.0,3247.0,186.0,216,7427
220,2020-08,Alabama,35838.0,548.0,26449.0,16913.0,1943.0,1075,85347
221,2020-08,Alaska,143.0,89.0,4088.0,4113.0,404.0,254,9363
222,2020-08,Arizona,9377.0,1003.0,25375.0,12472.0,2233.0,2316,54095
223,2020-08,Arkansas,3266.0,990.0,9821.0,7421.0,619.0,389,23980
224,2020-08,California,33056.0,0.0,65196.0,38505.0,8409.0,0,145797
225,2020-08,Colorado,11194.0,16.0,25765.0,16476.0,1948.0,1610,57388
226,2020-08,Connecticut,7600.0,348.0,5952.0,2014.0,1616.0,0,17534
227,2020-08,Delaware,493.0,0.0,3402.0,1919.0,181.0,111,6367
228,2020-08,District of Columbia,936.0,0.0,550.0,5.0,0.0,1,1541
229,2020-08,Florida,35826.0,0.0,85345.0,30914.0,6509.0,3193,167138
230,2020-08,Georgia,32131.0,0.0,26176.0,12198.0,1349.0,1821,75656
231,2020-08,Guam,0.0,0.0,151.0,39.0,57.0,9,256
232,2020-08,Hawaii,1622.0,0.0,0.0,0.0,0.0,0,1623
233,2020-08,Idaho,3555.0,8.0,7860.0,6811.0,620.0,373,19797
234,2020-08,Illinois,39261.0,504311.0,28864.0,13330.0,0.0,1458,587224
235,2020-08,Indiana,1199.0,156039.0,28843.0,16235.0,2226.0,1038,206454
236,2020-08,Iowa,8567.0,5486.0,242.0,3223.0,54.0,6,17660
237,2020-08,Kansas,1491.0,15.0,8851.0,6423.0,781.0,434,18687
238,2020-08,Kentucky,2318.0,3790.0,18531.0,10985.0,842.0,701,39157
239,2020-08,Louisiana,1879.0,240.0,16826.0,10171.0,1568.0,843,32594
240,2020-08,Maine,563.0,3.0,4734.0,4555.0,361.0,242,10576
241,2020-08,Mariana Islands,0.0,0.0,9.0,6.0,1.0,0,16
242,2020-08,Maryland,10133.0,5.0,8270.0,7807.0,248.0,4,27273
243,2020-08,Massachusetts,12657.0,0.0,6756.0,3557.0,748.0,304,24176
244,2020-08,Michigan,28773.0,10996.0,35892.0,23104.0,2709.0,905,102703
245,2020-08,Minnesota,26910.0,22062.0,17297.0,15193.0,1311.0,631,83801
246,2020-08,Mississippi,2773.0,0.0,15129.0,10518.0,928.0,585,31482
247,2020-08,Missouri,4203.0,0.0,26351.0,17461.0,2343.0,1115,53388
248,2020-08,Montana,1928.0,0.0,5066.0,5441.0,340.0,255,13882
249,2020-08,Nebraska,5990.0,121.0,140.0,2280.0,32.0,2,8606
250,2020-08,Nevada,4578.0,0.0,9541.0,3884.0,575.0,488,19831
251,2020-08,New Hampshire,1635.0,0.0,6952.0,4034.0,213.0,1,12934
252,2020-08,New Jersey,0.0,0.0,10002.0,6258.0,518.0,0,16954
253,2020-08,New Mexico,822.0,0.0,8580.0,5360.0,780.0,378,16672
254,2020-08,New York,3065.0,1739.0,10163.0,22460.0,3426.0,510,42443
255,2020-08,North Carolina,51670.0,45.0,2534.0,18885.0,1603.0,166,77846
256,2020-08,North Dakota,666.0,15.0,2503.0,3428.0,164.0,103,7060
257,2020-08,Ohio,18116.0,189.0,37224.0,19937.0,2099.0,1356,80387
258,2020-08,Oklahoma,2784.0,2.0,15728.0,10666.0,1672.0,951,34218
259,2020-08,Oregon,5793.0,698.0,21080.0,12694.0,0.0,12,40503
260,2020-08,Pennsylvania,36025.0,0.0,69325.0,24361.0,37.0,0,131205
261,2020-08,Puerto Rico,0.0,0.0,2441.0,250.0,73.0,30,3152
262,2020-08,Rhode Island,0.0,0.0,1842.0,1081.0,125.0,351,4235
263,2020-08,South Carolina,11598.0,594.0,17111.0,9137.0,1043.0,527,41169
264,2020-08,South Dakota,824.0,1.0,3700.0,4105.0,235.0,152,9280
265,2020-08,Tennessee,11438.0,8418.0,35007.0,21069.0,1837.0,0,77894
266,2020-08,Texas,50347.0,0.0,77807.0,43770.0,5975.0,2967,188091
267,2020-08,Utah,20777.0,97688.0,6483.0,5303.0,581.0,0,131552
268,2020-08,Vermont,0.0,0.0,2128.0,1898.0,183.0,105,4345
269,2020-08,Virgin Islands,37.0,0.0,22.0,2.0,1.0,0,62
270,2020-08,Virginia,900.0,354.0,36314.0,20016.0,4525.0,0,62251
271,2020-08,Washington,16546.0,347.0,28536.0,14497.0,4259.0,32,66713
272,2020-08,West Virginia,3176.0,198.0,7487.0,6958.0,455.0,345,19728
273,2020-08,Wisconsin,18816.0,955.0,28102.0,15908.0,1485.0,39,65771
